epoch,dc_beta_iaf_vae - _step,dc_beta_iaf_vae - _step__MIN,dc_beta_iaf_vae - _step__MAX,dc_beta_iaf_vae_train,dc_beta_iaf_vae - kl_train_overall__MIN,dc_beta_iaf_vae - kl_train_overall__MAX,dc_beta_iaf_vae_test,dc_beta_iaf_vae - kl_test_overall__MIN,dc_beta_iaf_vae - kl_test_overall__MAX,beta_iaf_vae - _step,beta_iaf_vae - _step__MIN,beta_iaf_vae - _step__MAX,beta_iaf_vae_train,beta_iaf_vae - kl_train_overall__MIN,beta_iaf_vae - kl_train_overall__MAX,beta_iaf_vae_test,beta_iaf_vae - kl_test_overall__MIN,beta_iaf_vae - kl_test_overall__MAX,beta_vae - _step,beta_vae - _step__MIN,beta_vae - _step__MAX,beta_vae_train,beta_vae - kl_train_overall__MIN,beta_vae - kl_train_overall__MAX,beta_vae_test,beta_vae - kl_test_overall__MIN,beta_vae - kl_test_overall__MAX,vae - _step,vae - _step__MIN,vae - _step__MAX,vae_train,vae - kl_train_overall__MIN,vae - kl_train_overall__MAX,vae_test,vae - kl_test_overall__MIN,vae - kl_test_overall__MAX,dc_iaf_diva - _step,dc_iaf_diva - _step__MIN,dc_iaf_diva - _step__MAX,dc_iaf_diva_y_test,dc_iaf_diva - kl_loss_y_test_overall__MIN,dc_iaf_diva - kl_loss_y_test_overall__MAX,dc_iaf_diva_m_train,dc_iaf_diva - kl_loss_m_train_overall__MIN,dc_iaf_diva - kl_loss_m_train_overall__MAX,dc_iaf_diva_x_train,dc_iaf_diva - kl_loss_x_train_overall__MIN,dc_iaf_diva - kl_loss_x_train_overall__MAX,dc_iaf_diva_y_train,dc_iaf_diva - kl_loss_y_train_overall__MIN,dc_iaf_diva - kl_loss_y_train_overall__MAX,dc_iaf_diva_m_test,dc_iaf_diva - kl_loss_m_test_overall__MIN,dc_iaf_diva - kl_loss_m_test_overall__MAX,dc_iaf_diva_x_test,dc_iaf_diva - kl_loss_x_test_overall__MIN,dc_iaf_diva - kl_loss_x_test_overall__MAX
1,601,542,660,493.9101956075408,493.9101956075408,493.9101956075408,663.0111953431045,663.0111953431045,663.0111953431045,601,542,660,464.55212689501775,464.55212689501775,464.55212689501775,536.8649368345414,536.8649368345414,536.8649368345414,601,542,660,114.62538897947192,114.62538897947192,114.62538897947192,167.9841791413294,167.9841791413294,167.9841791413294,601,542,660,5.809761238713986,5.809761238713986,5.809761238713986,5.396492181000886,5.396492181000886,5.396492181000886,601,542,660,187.8397325122026,187.8397325122026,187.8397325122026,142.8639897701925,142.8639897701925,142.8639897701925,166.75738446562931,166.75738446562931,166.75738446562931,150.03431299075868,150.03431299075868,150.03431299075868,176.7459620604457,176.7459620604457,176.7459620604457,220.66604677885502,220.66604677885502,220.66604677885502
2,1262,1203,1321,593.900209546529,593.900209546529,593.900209546529,609.7030127465308,609.7030127465308,609.7030127465308,1262,1203,1321,484.0426569301704,484.0426569301704,484.0426569301704,499.0518049286055,499.0518049286055,499.0518049286055,1262,1203,1321,178.1894702418704,178.1894702418704,178.1894702418704,189.69846784052717,189.69846784052717,189.69846784052717,1262,1203,1321,7.889293727839565,7.889293727839565,7.889293727839565,8.835810283032515,8.835810283032515,8.835810283032515,1262,1203,1321,180.53859086470172,180.53859086470172,180.53859086470172,162.74103976879613,162.74103976879613,162.74103976879613,201.01085294040806,201.01085294040806,201.01085294040806,173.109282067781,173.109282067781,173.109282067781,173.11881609217423,173.11881609217423,173.11881609217423,209.0131832262112,209.0131832262112,209.0131832262112
3,1923,1864,1982,557.8599477394921,557.8599477394921,557.8599477394921,552.1741826695439,552.1741826695439,552.1741826695439,1923,1864,1982,447.3734577925003,447.3734577925003,447.3734577925003,438.86038509152525,438.86038509152525,438.86038509152525,1923,1864,1982,201.85148834566348,201.85148834566348,201.85148834566348,208.34503463116747,208.34503463116747,208.34503463116747,1923,1864,1982,10.27663709228769,10.27663709228769,10.27663709228769,10.888569711805223,10.888569711805223,10.888569711805223,1923,1864,1982,170.73193496905654,170.73193496905654,170.73193496905654,163.74176785514803,163.74176785514803,163.74176785514803,194.33851544707463,194.33851544707463,194.33851544707463,171.21469631406214,171.21469631406214,171.21469631406214,160.01598686370417,160.01598686370417,160.01598686370417,186.61160977434474,186.61160977434474,186.61160977434474
4,2584,2525,2643,514.3083532129267,514.3083532129267,514.3083532129267,515.1833582959376,515.1833582959376,515.1833582959376,2584,2525,2643,419.74494264046643,419.74494264046643,419.74494264046643,394.74910661193013,394.74910661193013,394.74910661193013,2584,2525,2643,215.56029454192551,215.56029454192551,215.56029454192551,220.3958754303603,220.3958754303603,220.3958754303603,2584,2525,2643,11.082372295900464,11.082372295900464,11.082372295900464,11.9285284902913,11.9285284902913,11.9285284902913,2584,2525,2643,164.0389072682011,164.0389072682011,164.0389072682011,158.60895512992604,158.60895512992604,158.60895512992604,179.71597337898734,179.71597337898734,179.71597337898734,165.00434284280587,165.00434284280587,165.00434284280587,159.7042308413158,159.7042308413158,159.7042308413158,177.24343967314243,177.24343967314243,177.24343967314243
5,3245,3186,3304,479.1728672154275,479.1728672154275,479.1728672154275,476.0295682055936,476.0295682055936,476.0295682055936,3245,3186,3304,398.9063361474069,398.9063361474069,398.9063361474069,409.1500401352391,409.1500401352391,409.1500401352391,3245,3186,3304,224.39064642424074,224.39064642424074,224.39064642424074,227.87988837300668,227.87988837300668,227.87988837300668,3245,3186,3304,11.920010865834366,11.920010865834366,11.920010865834366,12.766378558568155,12.766378558568155,12.766378558568155,3245,3186,3304,161.5992849251669,161.5992849251669,161.5992849251669,152.78016620368535,152.78016620368535,152.78016620368535,166.04739748683804,166.04739748683804,166.04739748683804,159.2819556204595,159.2819556204595,159.2819556204595,153.4271674167304,153.4271674167304,153.4271674167304,165.93554572891122,165.93554572891122,165.93554572891122
6,3906,3847,3965,451.0399035351743,451.0399035351743,451.0399035351743,455.8495081872157,455.8495081872157,455.8495081872157,3906,3847,3965,381.4570126128813,381.4570126128813,381.4570126128813,388.64940965203414,388.64940965203414,388.64940965203414,3906,3847,3965,231.31158937123428,231.31158937123428,231.31158937123428,226.33718248835132,226.33718248835132,226.33718248835132,3906,3847,3965,12.688934994799624,12.688934994799624,12.688934994799624,13.574487226980704,13.574487226980704,13.574487226980704,3906,3847,3965,152.32834643621084,152.32834643621084,152.32834643621084,147.13683485193008,147.13683485193008,147.13683485193008,154.47847826630428,154.47847826630428,154.47847826630428,153.76981911184163,153.76981911184163,153.76981911184163,146.83920588835443,146.83920588835443,146.83920588835443,149.77255599568528,149.77255599568528,149.77255599568528
7,4567,4508,4626,429.7567224819282,429.7567224819282,429.7567224819282,423.60400104498007,423.60400104498007,423.60400104498007,4567,4508,4626,366.5501878463914,366.5501878463914,366.5501878463914,382.97369847943577,382.97369847943577,382.97369847943577,4567,4508,4626,236.28339222700393,236.28339222700393,236.28339222700393,237.37162210878947,237.37162210878947,237.37162210878947,4567,4508,4626,13.32752005904363,13.32752005904363,13.32752005904363,13.748523798608865,13.748523798608865,13.748523798608865,4567,4508,4626,147.9131121078448,147.9131121078448,147.9131121078448,141.670203233557,141.670203233557,141.670203233557,144.74498157571603,144.74498157571603,144.74498157571603,149.00031773190656,149.00031773190656,149.00031773190656,139.23075028868791,139.23075028868791,139.23075028868791,142.78686639627193,142.78686639627193,142.78686639627193
8,5228,5169,5287,413.61994140174556,413.61994140174556,413.61994140174556,412.05282800650235,412.05282800650235,412.05282800650235,5228,5169,5287,353.683933835188,353.683933835188,353.683933835188,349.5272064880829,349.5272064880829,349.5272064880829,5228,5169,5287,240.8137301061426,240.8137301061426,240.8137301061426,242.65695509753738,242.65695509753738,242.65695509753738,5228,5169,5287,13.988534010644328,13.988534010644328,13.988534010644328,14.852912069941642,14.852912069941642,14.852912069941642,5228,5169,5287,142.98770843482146,142.98770843482146,142.98770843482146,137.46742597629225,137.46742597629225,137.46742597629225,136.92928759022394,136.92928759022394,136.92928759022394,144.73306339165381,144.73306339165381,144.73306339165381,138.1670392285169,138.1670392285169,138.1670392285169,135.01375361089106,135.01375361089106,135.01375361089106
9,5889,5830,5948,399.3950260626874,399.3950260626874,399.3950260626874,400.74379739116677,400.74379739116677,400.74379739116677,5889,5830,5948,342.5332328543012,342.5332328543012,342.5332328543012,333.61884097415714,333.61884097415714,333.61884097415714,5889,5830,5948,245.51728863029902,245.51728863029902,245.51728863029902,249.66604341962923,249.66604341962923,249.66604341962923,5889,5830,5948,14.637216106991927,14.637216106991927,14.637216106991927,15.28424407521297,15.28424407521297,15.28424407521297,5889,5830,5948,140.87766952929613,140.87766952929613,140.87766952929613,133.26404902327985,133.26404902327985,133.26404902327985,130.42658052057357,130.42658052057357,130.42658052057357,140.99491707777185,140.99491707777185,140.99491707777185,133.81794381110788,133.81794381110788,133.81794381110788,125.55249826687663,125.55249826687663,125.55249826687663
10,6550,6491,6609,388.72235563496383,388.72235563496383,388.72235563496383,384.31241809812366,384.31241809812366,384.31241809812366,6550,6491,6609,332.4816932255931,332.4816932255931,332.4816932255931,326.43493193908233,326.43493193908233,326.43493193908233,6550,6491,6609,250.12893814706274,250.12893814706274,250.12893814706274,246.0372918758081,246.0372918758081,246.0372918758081,6550,6491,6609,15.270911482427392,15.270911482427392,15.270911482427392,15.832738907465012,15.832738907465012,15.832738907465012,6550,6491,6609,134.13069957465405,134.13069957465405,134.13069957465405,129.14555608038532,129.14555608038532,129.14555608038532,124.74001810559487,124.74001810559487,124.74001810559487,137.76855322355715,137.76855322355715,137.76855322355715,128.85164568035813,128.85164568035813,128.85164568035813,126.06466601099322,126.06466601099322,126.06466601099322
