epoch,dc_beta_iaf_vae - _step,dc_beta_iaf_vae - _step__MIN,dc_beta_iaf_vae - _step__MAX,dc_beta_iaf_vae_train,dc_beta_iaf_vae - loss_train_overall__MIN,dc_beta_iaf_vae - loss_train_overall__MAX,dc_beta_iaf_vae_test,dc_beta_iaf_vae - loss_test_overall__MIN,dc_beta_iaf_vae - loss_test_overall__MAX,beta_iaf_vae - _step,beta_iaf_vae - _step__MIN,beta_iaf_vae - _step__MAX,beta_iaf_vae_train,beta_iaf_vae - loss_train_overall__MIN,beta_iaf_vae - loss_train_overall__MAX,beta_iaf_vae_test,beta_iaf_vae - loss_test_overall__MIN,beta_iaf_vae - loss_test_overall__MAX,beta_vae - _step,beta_vae - _step__MIN,beta_vae - _step__MAX,beta_vae_train,beta_vae - loss_train_overall__MIN,beta_vae - loss_train_overall__MAX,beta_vae_test,beta_vae - loss_test_overall__MIN,beta_vae - loss_test_overall__MAX,vae - _step,vae - _step__MIN,vae - _step__MAX,vae_train,vae - loss_train_overall__MIN,vae - loss_train_overall__MAX,vae_test,vae - loss_test_overall__MIN,vae - loss_test_overall__MAX,dc_iaf_diva - _step,dc_iaf_diva - _step__MIN,dc_iaf_diva - _step__MAX,dc_iaf_diva_train,dc_iaf_diva - loss_train_overall__MIN,dc_iaf_diva - loss_train_overall__MAX,dc_iaf_diva_test,dc_iaf_diva - loss_test_overall__MIN,dc_iaf_diva - loss_test_overall__MAX
1,601,542,660,324.7523020783034,324.7523020783034,324.7523020783034,237.2022199850569,237.2022199850569,237.2022199850569,601,542,660,334.23522124343253,334.23522124343253,334.23522124343253,249.09467019073952,249.09467019073952,249.09467019073952,601,542,660,412.9543021226721,412.9543021226721,412.9543021226721,377.6976038476588,377.6976038476588,377.6976038476588,601,542,660,458.37573275970794,458.37573275970794,458.37573275970794,446.74064248536297,446.74064248536297,446.74064248536297,601,542,660,365.19449100283236,365.19449100283236,365.19449100283236,286.14196691979896,286.14196691979896,286.14196691979896
2,1262,1203,1321,199.32227556291983,199.32227556291983,199.32227556291983,167.43895463170367,167.43895463170367,167.43895463170367,1262,1203,1321,245.12973146333024,245.12973146333024,245.12973146333024,207.10585968483917,207.10585968483917,207.10585968483917,1262,1203,1321,366.1014158241863,366.1014158241863,366.1014158241863,350.1542457041114,350.1542457041114,350.1542457041114,1262,1203,1321,442.27290698962895,442.27290698962895,442.27290698962895,436.14787075514005,436.14787075514005,436.14787075514005,1262,1203,1321,251.25085350684134,251.25085350684134,251.25085350684134,217.48009636203912,217.48009636203912,217.48009636203912
3,1923,1864,1982,151.33310391190307,151.33310391190307,151.33310391190307,135.12770258605372,135.12770258605372,135.12770258605372,1923,1864,1982,220.05700948229574,220.05700948229574,220.05700948229574,191.16676850258392,191.16676850258392,191.16676850258392,1923,1864,1982,347.52533786675144,347.52533786675144,347.52533786675144,334.84476273938554,334.84476273938554,334.84476273938554,1923,1864,1982,434.1848336532987,434.1848336532987,434.1848336532987,429.1040488092185,429.1040488092185,429.1040488092185,1923,1864,1982,199.67888672325444,199.67888672325444,199.67888672325444,181.522544230491,181.522544230491,181.522544230491
4,2584,2525,2643,127.03836911190919,127.03836911190919,127.03836911190919,118.00287489062362,118.00287489062362,118.00287489062362,2584,2525,2643,209.40145978188602,209.40145978188602,209.40145978188602,184.23419135310309,184.23419135310309,184.23419135310309,2584,2525,2643,335.71816701290794,335.71816701290794,335.71816701290794,324.6460784856781,324.6460784856781,324.6460784856781,2584,2525,2643,428.33040970805826,428.33040970805826,428.33040970805826,424.61984739819826,424.61984739819826,424.61984739819826,2584,2525,2643,171.20278640690765,171.20278640690765,171.20278640690765,160.5293063638248,160.5293063638248,160.5293063638248
5,3245,3186,3304,113.15969650155944,113.15969650155944,113.15969650155944,109.20431236379723,109.20431236379723,109.20431236379723,3245,3186,3304,204.38622894850164,204.38622894850164,204.38622894850164,181.257527167363,181.257527167363,181.257527167363,3245,3186,3304,327.68223988438007,327.68223988438007,327.68223988438007,317.9844691689784,317.9844691689784,317.9844691689784,3245,3186,3304,424.8166016863721,424.8166016863721,424.8166016863721,422.4430493540296,422.4430493540296,422.4430493540296,3245,3186,3304,154.60801402581134,154.60801402581134,154.60801402581134,151.79804076199952,151.79804076199952,151.79804076199952
6,3906,3847,3965,104.87194338583858,104.87194338583858,104.87194338583858,101.65331887396097,101.65331887396097,101.65331887396097,3906,3847,3965,202.07706428893817,202.07706428893817,202.07706428893817,178.56138331036095,178.56138331036095,178.56138331036095,3906,3847,3965,321.9157227238166,321.9157227238166,321.9157227238166,312.30262040634966,312.30262040634966,312.30262040634966,3906,3847,3965,422.38522468369825,422.38522468369825,422.38522468369825,419.3242690435378,419.3242690435378,419.3242690435378,3906,3847,3965,144.02836385072376,144.02836385072376,144.02836385072376,140.00890715114195,140.00890715114195,140.00890715114195
7,4567,4508,4626,99.60011481534951,99.60011481534951,99.60011481534951,100.03989578954483,100.03989578954483,100.03989578954483,4567,4508,4626,201.22646517595243,201.22646517595243,201.22646517595243,180.47102997766757,180.47102997766757,180.47102997766757,4567,4508,4626,317.0925729899389,317.0925729899389,317.0925729899389,309.25259646020754,309.25259646020754,309.25259646020754,4567,4508,4626,420.389329973622,420.389329973622,420.389329973622,417.6597745391996,417.6597745391996,417.6597745391996,4567,4508,4626,136.70695261937666,136.70695261937666,136.70695261937666,135.54202993334158,135.54202993334158,135.54202993334158
8,5228,5169,5287,96.280648896615,96.280648896615,96.280648896615,96.49378448778778,96.49378448778778,96.49378448778778,5228,5169,5287,201.3606776276198,201.3606776276198,201.3606776276198,180.6637343392104,180.6637343392104,180.6637343392104,5228,5169,5287,312.6263147896066,312.6263147896066,312.6263147896066,305.2087245527187,305.2087245527187,305.2087245527187,5228,5169,5287,418.40393995446914,418.40393995446914,418.40393995446914,415.658100150898,415.658100150898,415.658100150898,5228,5169,5287,130.99077247253643,130.99077247253643,130.99077247253643,129.71668794716433,129.71668794716433,129.71668794716433
9,5889,5830,5948,93.76474608530418,93.76474608530418,93.76474608530418,97.40175021827854,97.40175021827854,97.40175021827854,5889,5830,5948,201.94105177875815,201.94105177875815,201.94105177875815,180.54425762564802,180.54425762564802,180.54425762564802,5889,5830,5948,308.89508591542824,308.89508591542824,308.89508591542824,300.64673513132374,300.64673513132374,300.64673513132374,5889,5830,5948,416.49087068339554,416.49087068339554,416.49087068339554,413.49841495129584,413.49841495129584,413.49841495129584,5889,5830,5948,126.79837649862705,126.79837649862705,126.79837649862705,126.89088338967032,126.89088338967032,126.89088338967032
10,6550,6491,6609,93.03605703938051,93.03605703938051,93.03605703938051,93.36678604485611,93.36678604485611,93.36678604485611,6550,6491,6609,202.9530981704318,202.9530981704318,202.9530981704318,182.44062025835402,182.44062025835402,182.44062025835402,6550,6491,6609,305.01635922365085,305.01635922365085,305.01635922365085,298.20094598485105,298.20094598485105,298.20094598485105,6550,6491,6609,414.73835720611237,414.73835720611237,414.73835720611237,411.9648576058183,411.9648576058183,411.9648576058183,6550,6491,6609,124.08442108041686,124.08442108041686,124.08442108041686,125.64923054799611,125.64923054799611,125.64923054799611
