epoch,dc_beta_iaf_vae - _step,dc_beta_iaf_vae - _step__MIN,dc_beta_iaf_vae - _step__MAX,dc_beta_iaf_vae_train,dc_beta_iaf_vae - rec_train_overall__MIN,dc_beta_iaf_vae - rec_train_overall__MAX,dc_beta_iaf_vae_test,dc_beta_iaf_vae - rec_test_overall__MIN,dc_beta_iaf_vae - rec_test_overall__MAX,beta_iaf_vae - _step,beta_iaf_vae - _step__MIN,beta_iaf_vae - _step__MAX,beta_iaf_vae_train,beta_iaf_vae - rec_train_overall__MIN,beta_iaf_vae - rec_train_overall__MAX,beta_iaf_vae_test,beta_iaf_vae - rec_test_overall__MIN,beta_iaf_vae - rec_test_overall__MAX,beta_vae - _step,beta_vae - _step__MIN,beta_vae - _step__MAX,beta_vae_train,beta_vae - rec_train_overall__MIN,beta_vae - rec_train_overall__MAX,beta_vae_test,beta_vae - rec_test_overall__MIN,beta_vae - rec_test_overall__MAX,vae - _step,vae - _step__MIN,vae - _step__MAX,vae_train,vae - rec_train_overall__MIN,vae - rec_train_overall__MAX,vae_test,vae - rec_test_overall__MIN,vae - rec_test_overall__MAX,dc_iaf_diva - _step,dc_iaf_diva - _step__MIN,dc_iaf_diva - _step__MAX,dc_iaf_diva_train,dc_iaf_diva - rec_train_overall__MIN,dc_iaf_diva - rec_train_overall__MAX,dc_iaf_diva_test,dc_iaf_diva - rec_test_overall__MIN,dc_iaf_diva - rec_test_overall__MAX
1,601,542,660,319.81320080633975,319.81320080633975,319.81320080633975,230.5721071130159,230.5721071130159,230.5721071130159,601,542,660,329.58970005837756,329.58970005837756,329.58970005837756,243.72602052251406,243.72602052251406,243.72602052251406,601,542,660,407.2230329337595,407.2230329337595,407.2230329337595,369.2983945319456,369.2983945319456,369.2983945319456,601,542,660,452.56597117744246,452.56597117744246,452.56597117744246,441.34414933685565,441.34414933685565,441.34414933685565,601,542,660,330.7121332316381,330.7121332316381,330.7121332316381,254.02580482148966,254.02580482148966,254.02580482148966
2,1262,1203,1321,187.4442717210833,187.4442717210833,187.4442717210833,155.24489412700473,155.24489412700473,155.24489412700473,1262,1203,1321,235.4488785803538,235.4488785803538,235.4488785803538,197.12482454961398,197.12482454961398,197.12482454961398,1262,1203,1321,357.1919422783095,357.1919422783095,357.1919422783095,340.66932172757976,340.66932172757976,340.66932172757976,1262,1203,1321,434.3836130515236,434.3836130515236,434.3836130515236,427.3120600916011,427.3120600916011,427.3120600916011,1262,1203,1321,214.84661732916462,214.84661732916462,214.84661732916462,181.4021482667723,181.4021482667723,181.4021482667723
3,1923,1864,1982,134.59730598759387,134.59730598759387,134.59730598759387,118.56247759594012,118.56247759594012,118.56247759594012,1923,1864,1982,206.63580623500022,206.63580623500022,206.63580623500022,178.0009574149131,178.0009574149131,178.0009574149131,1923,1864,1982,337.4327636380917,337.4327636380917,337.4327636380917,324.4275113303129,324.4275113303129,324.4275113303129,1923,1864,1982,423.90819603050767,423.90819603050767,423.90819603050767,418.2154794815012,418.2154794815012,418.2154794815012,1923,1864,1982,159.28627854519664,159.28627854519664,159.28627854519664,141.89510637316425,141.89510637316425,141.89510637316425
4,2584,2525,2643,106.46603513203864,106.46603513203864,106.46603513203864,97.39554080800113,97.39554080800113,97.39554080800113,2584,2525,2643,192.61166272040222,192.61166272040222,192.61166272040222,168.44422722504999,168.44422722504999,168.44422722504999,2584,2525,2643,324.9401527207716,324.9401527207716,324.9401527207716,313.6262842359644,313.6262842359644,313.6262842359644,2584,2525,2643,417.24803679631646,417.24803679631646,417.24803679631646,412.69131929742895,412.69131929742895,412.69131929742895,2584,2525,2643,127.33396069853949,127.33396069853949,127.33396069853949,117.02804906292302,117.02804906292302,117.02804906292302
5,3245,3186,3304,89.20105243696938,89.20105243696938,89.20105243696938,85.40283334134804,85.40283334134804,85.40283334134804,3245,3186,3304,184.44091200036758,184.44091200036758,184.44091200036758,160.80002543605755,160.80002543605755,160.80002543605755,3245,3186,3304,316.4627070127818,316.4627070127818,316.4627070127818,306.5904751342679,306.5904751342679,306.5904751342679,3245,3186,3304,412.8965907360795,412.8965907360795,412.8965907360795,409.6766727569035,409.6766727569035,409.6766727569035,3245,3186,3304,107.61182863861872,107.61182863861872,107.61182863861872,104.89987623466169,104.89987623466169,104.89987623466169
6,3906,3847,3965,77.8095497258035,77.8095497258035,77.8095497258035,74.30234909057617,74.30234909057617,74.30234909057617,3906,3847,3965,179.18964397247427,179.18964397247427,179.18964397247427,155.24241888742316,155.24241888742316,155.24241888742316,3906,3847,3965,310.3501433763117,310.3501433763117,310.3501433763117,300.9857619018081,300.9857619018081,300.9857619018081,3906,3847,3965,409.696289287722,409.696289287722,409.696289287722,405.7497815949965,405.7497815949965,405.7497815949965,3906,3847,3965,94.17467196137262,94.17467196137262,94.17467196137262,90.93820006462676,90.93820006462676,90.93820006462676
7,4567,4508,4626,69.51714401667408,69.51714401667408,69.51714401667408,70.38761538762682,70.38761538762682,70.38761538762682,4567,4508,4626,175.56795169506566,175.56795169506566,175.56795169506566,153.66287087591408,153.66287087591408,153.66287087591408,4567,4508,4626,305.2784033067992,305.2784033067992,305.2784033067992,297.3840165650774,297.3840165650774,297.3840165650774,4567,4508,4626,407.061809919857,407.061809919857,407.061809919857,403.91125077270095,403.91125077270095,403.91125077270095,4567,4508,4626,84.17327745726188,84.17327745726188,84.17327745726188,83.60765760372847,83.60765760372847,83.60765760372847
8,5228,5169,5287,63.19105427027628,63.19105427027628,63.19105427027628,63.529559163348225,63.529559163348225,63.529559163348225,5228,5169,5287,173.0659636325062,173.0659636325062,173.0659636325062,152.70155837170913,152.70155837170913,152.70155837170913,5228,5169,5287,300.58562821391763,300.58562821391763,300.58562821391763,293.0758768875529,293.0758768875529,293.0758768875529,5228,5169,5287,404.41540594910344,404.41540594910344,404.41540594910344,400.80518822224144,400.80518822224144,400.80518822224144,5228,5169,5287,75.8199355417512,75.8199355417512,75.8199355417512,75.0450657654599,75.0450657654599,75.0450657654599
9,5889,5830,5948,57.81919237960309,57.81919237960309,57.81919237960309,61.33480645263482,61.33480645263482,61.33480645263482,5889,5830,5948,171.11305943450364,171.11305943450364,171.11305943450364,150.51856071829826,150.51856071829826,150.51856071829826,5889,5830,5948,296.6192212544684,296.6192212544684,296.6192212544684,288.1634341350833,288.1634341350833,288.1634341350833,5889,5830,5948,401.853653911295,401.853653911295,401.853653911295,398.2141706639082,398.2141706639082,398.2141706639082,5889,5830,5948,69.13141263982907,69.13141263982907,69.13141263982907,69.73271724678203,69.73271724678203,69.73271724678203
10,6550,6491,6609,54.16382072420578,54.16382072420578,54.16382072420578,54.935543100811046,54.935543100811046,54.935543100811046,6550,6491,6609,169.70492767671817,169.70492767671817,169.70492767671817,149.79712595787728,149.79712595787728,149.79712595787728,6550,6491,6609,292.509911709606,292.509911709606,292.509911709606,285.89908121460246,285.89908121460246,285.89908121460246,6550,6491,6609,399.46744562690986,399.46744562690986,399.46744562690986,396.13211832587444,396.13211832587444,396.13211832587444,6550,6491,6609,64.0048360789394,64.0048360789394,64.0048360789394,66.04940844310809,66.04940844310809,66.04940844310809
