,idx,class_label,presence_terminal_loop,start_loop_upperhalf_col,highest_point_loop_upperhalf_row,highest_point_loop_upperhalf_col,loop_length,loop_width,gap_start,palindrome_score,asymmetric,large_asymmetric_bulge,largest_asym_bulge_strand_location,largest_asym_bulge_sequence_location,stem_begin,stem_end,stem_length,total_length,base_pairs_in_stem,base_pairs_wobbles_in_stem,AU_pair_begin_maturemiRNA,UGU
0,0,0,True,3.0,7.0,2.0,12.0,4.0,,0.8032786885245902,False,,,,60,4,56,60,0.43859649122807015,0.543859649122807,False,False
1,1,0,False,,,,,,5.0,0.5,False,,,,39,0,39,39,0.20512820512820512,0.2564102564102564,False,False
2,2,1,True,8.0,0.0,5.0,25.0,9.0,,0.8163265306122449,False,,,,48,9,39,48,0.7,0.725,False,True
3,3,0,True,7.0,0.0,4.0,25.0,8.0,,0.7115384615384616,False,4.0,upper,47.0,51,8,43,51,0.36363636363636365,0.5,False,False
4,4,1,True,7.0,0.0,4.0,25.0,8.0,,0.9761904761904762,False,,,,41,8,33,41,0.7941176470588235,0.8529411764705882,True,False
5,5,0,True,13.0,0.0,10.0,25.0,14.0,,0.8518518518518519,False,,,,53,14,39,53,0.5,0.625,False,False
6,6,0,True,3.0,4.0,2.0,18.0,4.0,,0.8035714285714286,False,,,,55,4,51,55,0.5384615384615384,0.6923076923076923,False,False
7,7,1,True,3.0,4.0,2.0,18.0,4.0,,0.6666666666666666,False,5.0,upper,16.0,56,4,52,56,0.5094339622641509,0.5849056603773585,False,False
8,8,1,True,7.0,0.0,4.0,25.0,8.0,,1.0,False,,,,45,8,37,45,0.8947368421052632,0.9736842105263158,True,True
9,9,1,False,,,,,,13.0,0.6,False,5.0,lower,6.0,59,0,59,59,0.11864406779661017,0.23728813559322035,False,False
10,10,0,False,,,,,,11.0,0.3,True,4.0,lower,34.0,49,0,49,49,0.08163265306122448,0.12244897959183673,False,False
11,11,1,True,10.0,0.0,7.0,25.0,11.0,,0.9210526315789473,False,,,,37,11,26,37,0.7407407407407407,0.7777777777777778,True,False
12,12,0,False,,,,,,8.0,0.3559322033898305,True,7.0,upper,46.0,58,0,58,58,0.15517241379310345,0.20689655172413793,True,False
13,13,1,True,7.0,0.0,4.0,25.0,8.0,,0.8863636363636364,False,,,,43,8,35,43,0.3333333333333333,0.4722222222222222,False,False
14,14,1,True,7.0,0.0,4.0,25.0,8.0,,0.8095238095238095,False,,,,62,8,54,62,0.5272727272727272,0.6363636363636364,True,False
15,15,1,True,2.0,4.0,1.0,18.0,3.0,,0.8163265306122449,False,,,,48,3,45,48,0.5869565217391305,0.717391304347826,False,False
16,16,0,False,,,,,,4.0,0.45098039215686275,False,,,,50,0,50,50,0.18,0.26,False,False
17,17,1,True,3.0,4.0,2.0,18.0,4.0,,0.75,False,,,,79,4,75,79,0.631578947368421,0.631578947368421,True,False
18,18,1,True,4.0,2.0,2.0,22.0,5.0,,0.9333333333333333,False,,,,44,5,39,44,0.725,0.825,False,False
19,19,1,True,2.0,4.0,1.0,18.0,3.0,,0.7878787878787878,False,2.0,upper,64.0,65,3,62,65,0.5873015873015873,0.7142857142857143,False,False
20,20,1,True,5.0,4.0,4.0,18.0,6.0,,0.9807692307692307,False,,,,51,6,45,51,0.6304347826086957,0.7608695652173914,True,False
21,21,1,True,10.0,0.0,7.0,25.0,11.0,,0.8571428571428571,False,,,,48,11,37,48,0.5526315789473685,0.6578947368421053,True,True
22,22,1,True,2.0,4.0,1.0,18.0,3.0,,0.8390804597701149,False,1.0,lower,25.0,86,3,83,86,0.5952380952380952,0.7142857142857143,False,False
23,23,1,True,4.0,2.0,2.0,22.0,5.0,,0.8245614035087719,False,2.0,lower,54.0,56,5,51,56,0.5,0.6730769230769231,True,False
24,24,0,True,17.0,0.0,14.0,25.0,18.0,,0.47619047619047616,False,25.0,upper,44.0,62,18,44,62,0.15555555555555556,0.15555555555555556,False,False
25,25,0,True,2.0,4.0,1.0,18.0,3.0,,0.6578947368421053,False,,,,37,3,34,37,0.45714285714285713,0.5428571428571428,False,False
26,26,0,False,,,,,,6.0,0.3333333333333333,True,2.0,upper,12.0,32,0,32,32,0.15625,0.15625,False,False
27,27,0,True,22.0,0.0,19.0,25.0,23.0,,0.8823529411764706,False,,,,50,23,27,50,0.5357142857142857,0.6428571428571429,True,False
28,28,1,True,12.0,0.0,9.0,25.0,13.0,,0.9433962264150944,False,,,,52,13,39,52,0.775,0.85,True,True
29,29,1,True,8.0,0.0,4.0,25.0,9.0,,0.8157894736842105,False,,,,37,9,28,37,0.6551724137931034,0.6896551724137931,True,False
30,30,1,True,4.0,2.0,2.0,22.0,5.0,,0.84375,False,,,,31,5,26,31,0.5925925925925926,0.6296296296296297,True,False
31,31,0,True,3.0,4.0,2.0,18.0,4.0,,0.42424242424242425,False,7.0,lower,21.0,65,4,61,65,0.3225806451612903,0.3709677419354839,False,True
32,32,1,True,7.0,0.0,4.0,25.0,8.0,,0.9117647058823529,False,,,,33,8,25,33,0.6923076923076923,0.8076923076923077,True,True
33,33,0,True,2.0,4.0,1.0,18.0,3.0,,0.5370370370370371,False,6.0,upper,17.0,53,3,50,53,0.3137254901960784,0.39215686274509803,False,False
34,34,1,True,3.0,4.0,2.0,18.0,4.0,,0.8666666666666667,False,,,,59,4,55,59,0.6071428571428571,0.7142857142857143,True,False
35,35,0,False,,,,,,7.0,0.15217391304347827,True,17.0,upper,35.0,45,0,45,45,0.022222222222222223,0.022222222222222223,False,False
36,36,0,False,,,,,,5.0,0.3888888888888889,True,,,,35,0,35,35,0.08571428571428572,0.14285714285714285,False,False
37,37,0,True,8.0,0.0,4.0,25.0,9.0,,0.7846153846153846,False,,,,64,9,55,64,0.4642857142857143,0.5178571428571429,True,True
38,38,1,True,12.0,0.0,9.0,25.0,13.0,,0.9473684210526315,False,,,,37,13,24,37,0.68,0.8,True,False
39,39,0,True,4.0,2.0,2.0,22.0,5.0,,0.8095238095238095,False,,,,41,5,36,41,0.5405405405405406,0.6486486486486487,False,False
40,40,1,True,12.0,0.0,9.0,25.0,13.0,,0.8947368421052632,False,,,,37,13,24,37,0.72,0.84,True,False
41,41,1,True,6.0,0.0,3.0,25.0,7.0,,0.9019607843137255,False,,,,50,7,43,50,0.6818181818181818,0.75,True,True
42,42,1,True,3.0,6.0,2.0,14.0,4.0,,0.8863636363636364,False,,,,43,4,39,43,0.675,0.75,True,False
43,43,0,True,3.0,6.0,2.0,14.0,4.0,,0.6444444444444445,False,,,,44,4,40,44,0.4634146341463415,0.5853658536585366,False,False
44,44,0,True,7.0,4.0,1.0,18.0,8.0,,0.5777777777777777,False,2.0,lower,20.0,44,8,36,44,0.2702702702702703,0.3783783783783784,True,False
45,45,0,False,,,,,,5.0,0.358974358974359,True,4.0,lower,36.0,38,0,38,38,0.10526315789473684,0.21052631578947367,False,False
46,46,1,True,5.0,2.0,3.0,22.0,6.0,,0.7435897435897436,False,,,,77,6,71,77,0.5277777777777778,0.6111111111111112,False,False
47,47,0,False,,,,,,4.0,0.39655172413793105,True,6.0,upper,50.0,57,0,57,57,0.14035087719298245,0.22807017543859648,False,False
48,48,0,True,5.0,2.0,3.0,22.0,6.0,,0.7894736842105263,False,,,,56,6,50,56,0.5098039215686274,0.5686274509803921,False,False
49,49,1,True,8.0,0.0,4.0,25.0,9.0,,0.8888888888888888,False,,,,35,9,26,35,0.6296296296296297,0.7777777777777778,True,False
50,50,0,False,,,,,,7.0,0.42857142857142855,False,2.0,lower,53.0,55,0,55,55,0.09090909090909091,0.10909090909090909,False,False
51,51,1,True,11.0,0.0,8.0,25.0,12.0,,0.9230769230769231,False,,,,51,12,39,51,0.675,0.825,False,False
52,52,1,True,8.0,0.0,5.0,25.0,9.0,,0.9056603773584906,False,,,,52,9,43,52,0.7727272727272727,0.8181818181818182,False,False
53,53,1,True,5.0,2.0,3.0,22.0,6.0,,0.7704918032786885,False,3.0,upper,53.0,60,6,54,60,0.6727272727272727,0.7272727272727273,True,False
54,54,0,False,,,,,,4.0,0.453125,False,4.0,upper,30.0,63,0,63,63,0.1746031746031746,0.23809523809523808,False,False
55,55,0,False,,,,,,6.0,0.20754716981132076,True,12.0,lower,44.0,52,0,52,52,0.057692307692307696,0.09615384615384616,False,False
56,56,0,False,,,,,,5.0,0.2962962962962963,True,6.0,upper,22.0,53,0,53,53,0.018867924528301886,0.07547169811320754,False,False
57,57,0,True,6.0,0.0,3.0,25.0,7.0,,0.6595744680851063,False,,,,46,7,39,46,0.45,0.475,False,False
58,58,1,False,,,,,,5.0,0.5846153846153846,False,,,,64,0,64,64,0.140625,0.25,False,False
59,59,1,True,6.0,0.0,3.0,25.0,7.0,,0.8461538461538461,False,,,,51,7,44,51,0.6222222222222222,0.7555555555555555,True,True
60,60,0,True,5.0,2.0,3.0,22.0,6.0,,0.7254901960784313,False,,,,50,6,44,50,0.5777777777777777,0.6444444444444445,False,False
61,61,1,True,8.0,0.0,5.0,25.0,9.0,,1.0,False,,,,36,9,27,36,0.8928571428571429,0.8928571428571429,True,False
62,62,1,True,6.0,0.0,3.0,25.0,7.0,,0.8717948717948718,False,,,,38,7,31,38,0.625,0.78125,False,False
63,63,1,True,4.0,2.0,2.0,22.0,5.0,,0.925,False,,,,39,5,34,39,0.7142857142857143,0.8,True,True
64,64,0,True,13.0,0.0,10.0,25.0,14.0,,0.9166666666666666,False,,,,35,14,21,35,0.36363636363636365,0.45454545454545453,False,False
65,65,0,True,7.0,0.0,4.0,25.0,8.0,,0.3793103448275862,True,,,,57,8,49,57,0.24,0.28,False,False
66,66,1,True,3.0,4.0,2.0,18.0,4.0,,0.8775510204081632,False,,,,48,4,44,48,0.5555555555555556,0.7555555555555555,False,True
67,67,1,True,5.0,4.0,3.0,18.0,6.0,,0.7741935483870968,False,2.0,upper,43.0,61,6,55,61,0.6071428571428571,0.6607142857142857,False,False
68,68,0,True,7.0,1.0,4.0,24.0,8.0,,0.5166666666666667,False,9.0,lower,33.0,59,8,51,59,0.19230769230769232,0.4230769230769231,False,True
69,69,1,True,13.0,0.0,9.0,25.0,14.0,,0.8571428571428571,False,,,,55,14,41,55,0.6190476190476191,0.7380952380952381,True,True
70,70,1,True,2.0,4.0,1.0,18.0,3.0,,0.7346938775510204,False,,,,48,3,45,48,0.6304347826086957,0.6956521739130435,True,True
71,71,1,True,2.0,4.0,1.0,18.0,3.0,,0.88,False,8.0,upper,17.0,99,3,96,99,0.5773195876288659,0.6907216494845361,False,False
72,72,1,True,8.0,0.0,4.0,25.0,9.0,,0.9090909090909091,False,,,,43,9,34,43,0.6571428571428571,0.7714285714285715,False,True
73,73,1,True,8.0,0.0,4.0,25.0,9.0,,0.9629629629629629,False,,,,53,9,44,53,0.6,0.7777777777777778,False,False
74,74,1,True,7.0,0.0,4.0,25.0,8.0,,0.8133333333333334,False,,,,74,8,66,74,0.6119402985074627,0.6865671641791045,False,True
75,75,0,False,,,,,,4.0,0.4489795918367347,False,3.0,lower,45.0,48,0,48,48,0.20833333333333334,0.2708333333333333,False,False
76,76,0,True,3.0,4.0,2.0,18.0,4.0,,0.6153846153846154,False,1.0,upper,44.0,51,4,47,51,0.5,0.5208333333333334,True,False
77,77,1,True,5.0,2.0,3.0,22.0,6.0,,0.8723404255319149,False,,,,46,6,40,46,0.6829268292682927,0.8048780487804879,True,True
78,78,1,False,,,,,,5.0,0.4888888888888889,False,,,,44,0,44,44,0.11363636363636363,0.20454545454545456,False,False
79,79,1,True,3.0,5.0,2.0,16.0,4.0,,0.7894736842105263,False,,,,37,4,33,37,0.7058823529411765,0.7352941176470589,False,False
80,80,1,True,4.0,2.0,2.0,22.0,5.0,,0.8636363636363636,False,,,,43,5,38,43,0.41025641025641024,0.48717948717948717,False,False
81,81,1,False,,,,,,8.0,0.55,False,9.0,upper,72.0,99,0,99,99,0.36363636363636365,0.42424242424242425,False,False
82,82,1,True,10.0,0.0,7.0,25.0,11.0,,0.9038461538461539,False,,,,51,11,40,51,0.6585365853658537,0.8048780487804879,True,False
83,83,1,True,5.0,4.0,4.0,18.0,6.0,,0.8555555555555555,False,,,,89,6,83,89,0.5238095238095238,0.6190476190476191,False,True
84,84,0,True,3.0,6.0,0.0,14.0,4.0,,0.6511627906976745,False,1.0,lower,40.0,42,4,38,42,0.48717948717948717,0.5897435897435898,False,False
85,85,0,True,5.0,2.0,3.0,22.0,6.0,,0.6792452830188679,False,,,,52,6,46,52,0.5957446808510638,0.6382978723404256,True,True
86,86,1,True,10.0,0.0,7.0,25.0,11.0,,0.8870967741935484,False,,,,61,11,50,61,0.5490196078431373,0.6274509803921569,True,False
87,87,1,True,2.0,4.0,1.0,18.0,3.0,,0.7580645161290323,False,,,,61,3,58,61,0.5254237288135594,0.6440677966101694,False,False
88,88,1,True,3.0,6.0,2.0,14.0,4.0,,0.7846153846153846,False,1.0,upper,14.0,64,4,60,64,0.5573770491803278,0.6065573770491803,True,True
89,89,1,True,6.0,0.0,3.0,25.0,7.0,,0.8837209302325582,False,,,,42,7,35,42,0.4722222222222222,0.7222222222222222,True,True
90,90,0,True,3.0,4.0,2.0,18.0,4.0,,0.6571428571428571,False,1.0,upper,33.0,34,4,30,34,0.41935483870967744,0.5161290322580645,False,False
91,91,1,True,6.0,0.0,3.0,25.0,7.0,,0.9583333333333334,False,,,,47,7,40,47,0.7804878048780488,0.8536585365853658,True,True
92,92,0,True,3.0,4.0,2.0,18.0,4.0,,0.723404255319149,False,,,,46,4,42,46,0.4883720930232558,0.6511627906976745,True,False
93,93,1,True,2.0,4.0,1.0,18.0,3.0,,0.8235294117647058,False,,,,33,3,30,33,0.6129032258064516,0.7096774193548387,True,False
94,94,0,False,,,,,,7.0,0.32786885245901637,True,9.0,upper,25.0,60,0,60,60,0.11666666666666667,0.16666666666666666,False,False
95,95,0,False,,,,,,8.0,0.1875,True,11.0,lower,21.0,31,0,31,31,0.06451612903225806,0.06451612903225806,False,False
96,96,0,True,3.0,4.0,2.0,18.0,4.0,,0.6829268292682927,False,,,,40,4,36,40,0.5135135135135135,0.5945945945945946,False,False
97,97,0,False,,,,,,5.0,0.3902439024390244,True,1.0,lower,33.0,40,0,40,40,0.05,0.075,False,False
98,98,1,True,7.0,1.0,4.0,24.0,8.0,,0.6612903225806451,False,7.0,lower,19.0,61,8,53,61,0.5555555555555556,0.5925925925925926,True,True
99,99,1,True,3.0,6.0,2.0,14.0,4.0,,0.918918918918919,False,,,,36,4,32,36,0.5151515151515151,0.6363636363636364,False,False
